"Standard","Standardowy"
"Minimal","Minimalny"
"Optional","Opcjonalny"
"Required","Wymagany"
"Hidden","Ukryty"
"The fire checkout is disabled.","fire checkout jest wyłączony."
"Fire Checkout Section","Sekcja Fire Checkout"
"Fire Checkout","Fire Checkout"
"Default Shipping Method","Domyślna metoda dostawy"
"Default Payment Method","Domyślna metoda płatności"
"Default Country","Domyślny kraj"
"GeoIP","GeoIP"
"Enable Country Detection","Włącz wykrywanie kraju"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Pobierz</a> i rozpakuj plik w folderze 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' jeśli go nie miałeś"
"Enable City Detection","Włącz wykrywanie miasta"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Pobierz</a> i rozpakuj plik w folderze 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' jeśli go nie miałeś"
"Show Shipping Address Form","Pokaż formularz adresu dostawy"
"Show Subscribe to Newsletter Checkbox","Pokaż Zapisz się do newslettera"
"Address Form Fields","Pola formularza adresowego"
"Before changing some of the fields, be sure that your payment/shipping provider does not require them","Przed zmianą niektórych pól, upewnij się, że twój dostawca płatności/wysyłki ich nie wymaga"
"Output Type","Typ produkcji"
"Create account for later use","Stwórz konto do późniejszego użytku"
"Checkout Review","Przegląd zamówienia"
"Already registered? Login into your account","Zarejestrowany? Zaloguj się na swoje konto"
"Show Comment Field","Pokaż pole komentarza"
"Guest checkout is allowed","Zamówienie składane przez gości jest dozwolone"
"Registration is required","Rejestracja jest wymagana"
"User is registered during checkout without prompting a password","Użytkownik jest rejestrowany podczas zamawiania bez przypominania hasła"
"Registration mode","Tryb rejestracji"
"Show Discount Coupon Field","Pokaż pole kuponu rabatowego"
"Firecheckout on Mobile Devices","Firecheckout na urządzeniach mobilnych"
"Enable Region Detection","Włącz wykrywanie regionu"
"GeoIp filename","Nazwa pliku GeoIp "
"GeoIPRegion filename","Nazwa pliku GeoIPRegion"
"GeoCity filename","Nazwa pliku GeoCity "
"<a href='http://www.maxmind.com/app/region' title='Purchase Region database'>Purchase</a>, download and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://www.maxmind.com/app/region' title='Zamów bazę regionów'>Zamów</a>, pobierz i rozpakuj plik w folderze 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' jeśli go nie miałeś"
"GeoIP is enabled but not included. geoip_open function doesn't found","GeoIP jest włączony, ale nie uwzględniony. Funkcji geoip_open nie znaleziono"
"Country detection is enabled but %s not found","Wykrywanie kraju jest włączone, ale %s nie znaleziono"
"Region detection is enabled but %s not found","Wykrywanie regionu jest włączone, ale %s nie znaleziono"
"City detection is enabled but %s not found"," Wykrywanie miasta jest włączone, ale %s nie znaleziono "
"Redirect to firecheckout after adding an item to the shopping cart","Przekieruj do firecheckout po dodaniu produktu do koszyka"
"Ajax","Ajax"
"Reload order totals on region change","Przeładuj sumę zamówienia przy zmianie regionu"
"Reload order totals on payment method change","Przeładuj sumę zamówienia przy zmianie metody płatności"
"Reload shipping methods on country change","Przeładuj metody dostawy przy zmianie kraju"
"Reload payment methods on country change","Przeładuj metody płatności przy zmianie kraju"
"Register customer during Paypal Express checkout if prompted","Rejestruj klienta podczas zamówienia Paypal Express jeśli się zgodzi"
"Ship to the same address","Wyślij na ten sam adres"
"Validate taxvat number","Zweryfikuj numer NIP"
"Use online VIES validation","Użyj weryfikacji online VIES"
"Show Giftcard Field","Pokaż pole Giftcard"
"Works with Magento Enterprise/Pro Versions Only","Współpracuje tylko z Magento Enterprise/Wersja Pro"
"Address Form Fields Sort Order","Metoda sortowania pól formularza adresowego"
"To place the fields in one row, set their order values in continuous chain: 1,2 or 12,13 or 20,21</br>To place fields in separate rows break the order values chain: 1,3 or 12,18 or 20,30"," Aby umieścić pola w jednym rzędzie ustaw wartości w ciągłym łańcuchu: 1,2 lub 12,13 lub 20,21 </ br> Aby umieścić pola w osobnych wierszach przerwij łańcuch wartości: 1,3 lub 12,18 lub 20,30"
"Set 'Yes' if some of your methods are using allowed countries option","Wybierz 'Tak' jeśli któreś z twoich metod używają opcji 'dozwolonych krajów'"
"Reload payment methods on order total change","Przeładuj metody płatności przy zmianie wartości zamówienia"
"Set 'Yes' if some of your methods are using min/max order total option","Wybierz 'Tak' jeśli któreś z twoich metod używają opcji min/max sumy zamówienia"
"Reload shipping methods on postal code change"," Przeładuj metody wysyłki przy zmianie kodu pocztowego"
"Reload shipping methods on region change","Przeładuj metody wysyłki przy zmianie regionu"
"Reload shipping methods on order total change","Przeładuj metody dostawy przy zmianie sumy zamówienia"
"Set 'Yes' if some of your methods are using min/max order total option","Wybierz 'Tak' jeśli któreś z twoich metod używają opcji min/max sumy zamówienia"
"Set 'Yes' if you have an active discount for some payment method","Wybierz 'Tak' jeśli masz aktywne zniżki na niektóre metody płatności"
"Reload order totals on shipping method change","Przeładuj podsumownie zamówienia przy zmianie metody wysyłki"
"Reload order totals on country change","Przeładuj podsumownie zamówienia przy zmianie kraju"
"Set 'Yes' if you have an active discount or tax rate for some country","Wybierz 'Tak' jeśli masz aktywne zniżki lub stawki podatkowe dla jakiegoś kraju"
"Reload order totals on postal code change","Przeładuj podsumownie zamówienia przy zmianie kodu pocztowego"
"Set 'Yes' if you have an active discount or tax rate for some zipcode","Wybierz "Tak", jeśli masz aktywne zniżki lub stawkę podatku dla niektórych kodów pocztowych"
"Reload order totals on region change","Przeładuj podsumownie zamówienia przy zmianie regionu"
"Set 'Yes' if you have an active discount or tax rate for some region","Wybierz 'Tak', jeśli masz aktywne zniżki lub stawki podatkowe dla jakiegoś regionu"
"Invalid VAT number","Niepoprawny numer VAT"
"The VAT validation service unavailable. Please re-submit your request later.","Serwis walidacji numerów VAT niedostępny. Proszę ponownie przesłać zgłoszenie później."
"The provided CountryCode is invalid or the VAT number is empty","Wprowadzony kod kraju jest nieważny lub numer VAT jest pusty"
"The VAT validation service cannot process your request. Try again later.","Serwis walidacji numerów VAT nie może przetworzyć żądania. Spróbuj ponownie później."
"Unknown VAT validation service message. Try again later.","Nieznana wiadomość serwisu walidacji VAT. Spróbuj ponownie później."
"The provided CountryCode is invalid for the VAT number","Wprowadzony kod kraju jest nieważny dla numeru VAT"
"Delivery Date and Time","Data i czas dostawy"
"Delivery Date","Data dostawy"
"Delivery Time","Czas dostawy"
"Display Mode","Tryb wyświetlania"
"Use Calendar","Użyj kalendarza"
"Exclude the Weekend Days","Wyklucz dni weekendowe"
"Dates to Exclude","Daty do wykluczenia"
"Use Time Range","Użyj zakresu czasowego"
"Time Ranges","Zakresy czasowe"
"We cannot deliver the package at the selected date. Please select another date for the delivery","Nie możemy dostarczyć paczki w wybranym terminie. Prosimy wybrać inną datę dostawy"
"We cannot deliver the package at the selected time. Please select another time for the delivery","Nie możemy dostarczyć paczki w wybranym czasie. Prosimy wybrać inny czas dostawy"
"Show for All Shipping Methods","Pokaż dla wszystkich metod wysyłki"
"Show for Specific Shipping Methods","Pokaż dla wybranych metod wysyłki"
"MM/DD/YYYY","MM/DD/YYYY"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Istnieje już klient zarejestrowany przy użyciu tego adresu email. Proszę się zalogować przy użyciu tego adresu e-mail lub wprowadzić inny adres e-mail aby zarejestrować się na konto."
"You are browsing our store as %s %s"," Przeglądasz nasz sklep jako %s %s"
"Please %s or %s a new account to place order."," Prosimy %s lub %s nowe konto, aby złożyć zamówienie."
"Allow to edit shopping cart contents","Pozwól edytować zawartość koszyka"
"Show product image","Pokaż zdjęcie produktu"
"We recommend to use 2columns layout when using this option. See the General options section.","Zalecamy stosowanie układu 2 kolumnoweg przy użyciu tej opcji. Zobacz główne opcje."
"Reload payment methods on cart contents change","Przeładuj metody płatności przy zmianie zawartości koszyka"
"Set 'Yes' if your methods depends on a shopping cart weight, subtotal or products q-ty","Wybierz 'Tak' jeśli twoje metody zależą od wagi koszyka, sumy lub ilości produktów"
"Reload shipping methods on cart contents change","Przeładuj metody wysyłki przy zmianie zawartości koszyka"
"This email is already in use","Ten adres e-mail jest już zajęty"
"Please %slogin%s using this email address or %senter a different email address%s to register your account."," Prosimy %szalogować się%s przy użyciu tego adresu e-mail lub %swprowadzić inny adres e-mail%s aby zarejestrować się na konto."
"3 columns","3 kolumny"
"2 columns","2 kolumny"